Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR9127010_2 - nextera_transposase_sequence	(1, 0.0)	(2, 6.13633230620335e-06)	(3, 6.13633230620335e-06)	(4, 3.9886159990321776e-05)	(5, 4.2954326143423455e-05)	(6, 4.602249229652513e-05)	(7, 5.215882460272848e-05)	(8, 6.443148921513518e-05)	(9, 0.00016874913842059212)	(10, 0.0003328960276115317)	(12, 0.0005123837475679798)	(14, 0.0007532347905864613)	(16, 0.0010891989843510945)	(18, 0.0015739692365411592)	(20, 0.0023179995286683156)	(22, 0.0033044149468905042)	(24, 0.0045961128973463095)	(26, 0.006157809469275062)	(28, 0.0077839375304189495)	(30, 0.01027528844673751)	(32, 0.014902083005614837)	(34, 0.019610183967549356)	(36, 0.02543509740921289)	(38, 0.033473692730339275)	(40, 0.043679947438632)	(42, 0.053496545045480806)	(44, 0.06294342863088087)	(46, 0.07287815063462409)	(48, 0.0838836626257998)	(50, 0.09510548033076918)	(52, 0.10711428265400913)	(54, 0.12015398880469125)	(56, 0.13352659098298492)	(58, 0.1479331651548738)	(60, 0.16505046412302807)	(62, 0.1824300912972725)	(64, 0.1988217689702182)	(66, 0.2169484946027429)	(68, 0.23957621998186776)	(70, 0.2639328569882654)	(72, 0.2846000241955583)	(74, 0.30495730662138787)	(76, 0.3285330953418212)	(78, 0.35154280740700716)	(80, 0.3739910450661756)	(82, 0.3972891647497532)	(84, 0.4193646202213197)	(86, 0.4400808780870622)	(88, 0.4610640664081246)
SRR9127010_2 - polya	(1, 0.0009971539997580443)	(2, 0.0012057892981689584)	(3, 0.0013960155996612623)	(4, 0.0016537415565218028)	(5, 0.0022612384548359346)	(6, 0.002884076183915575)	(7, 0.0032798696176656907)	(8, 0.0035713454022103497)	(9, 0.003933389008276347)	(10, 0.0060488895708399526)	(12, 0.009604894142284794)	(14, 0.015759635445406754)	(16, 0.022327045096120893)	(18, 0.028653603703816546)	(20, 0.035007775806890115)	(22, 0.04190961556829233)	(24, 0.049144351357306076)	(26, 0.05668436967855345)	(28, 0.0638163219014383)	(30, 0.07115997758888715)	(32, 0.07911573242387979)	(34, 0.08727091805882405)	(36, 0.09399173601719327)	(38, 0.1012893692123456)	(40, 0.10907944307507075)	(42, 0.11677286970397321)	(44, 0.12432822885598607)	(46, 0.13192654233414236)	(48, 0.14010013696600526)	(50, 0.14859895721009686)	(52, 0.1568078357527204)	(54, 0.16575614233824143)	(56, 0.1743332008192372)	(58, 0.18270622625105165)	(60, 0.1921254963410738)	(62, 0.2016276069172297)	(64, 0.2106633562381141)	(66, 0.2196760943128503)	(68, 0.2288990017690739)	(70, 0.23811423880991478)	(72, 0.24719601062309576)	(74, 0.2563682933377932)	(76, 0.26533194075407973)	(78, 0.2749337667302114)	(80, 0.2843131506602433)	(82, 0.2933657748949698)	(84, 0.3026837955019396)	(86, 0.3119742026135314)	(88, 0.3213965408697067)
SRR9127010_2 - polyg	(1, 0.04944042939108039)	(2, 0.04951099721260173)	(3, 0.049869972652514624)	(4, 0.05034553840624539)	(5, 0.051235306590644875)	(6, 0.052118938442738155)	(7, 0.05279393499642052)	(8, 0.05319586476247684)	(9, 0.05370518034389172)	(10, 0.054771368082094554)	(12, 0.05611675894022964)	(14, 0.057186014844585575)	(16, 0.05799907887515751)	(18, 0.058856631314949434)	(20, 0.059691172508593085)	(22, 0.06052264553608364)	(24, 0.061329573234349385)	(26, 0.06220093242183026)	(28, 0.06315513209544488)	(30, 0.06397279837524647)	(32, 0.06477052157505292)	(34, 0.06573852799635649)	(36, 0.06669272766997111)	(38, 0.06774664274356154)	(40, 0.06872078549717131)	(42, 0.069616690013877)	(44, 0.07055554885672613)	(46, 0.07159412309955104)	(48, 0.0727063333300504)	(50, 0.07388604321591799)	(52, 0.0750749576002449)	(54, 0.07605216852000778)	(56, 0.07702631127361756)	(58, 0.07819835074410239)	(60, 0.07925686806692248)	(62, 0.080494873109699)	(64, 0.08199367227548918)	(66, 0.08331758597055254)	(68, 0.0845295116010277)	(70, 0.0858933114560814)	(72, 0.08702239660042281)	(74, 0.08819443607090766)	(76, 0.08950607710135862)	(78, 0.09082538854719234)	(80, 0.09225515397453772)	(82, 0.0937815666357058)	(84, 0.0955166145952848)	(86, 0.09765666048707322)	(88, 0.1004502257694723)
SRR9127157_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 4.593008678352108e-06)	(4, 2.7558052070112646e-05)	(5, 2.7558052070112646e-05)	(6, 2.7558052070112646e-05)	(7, 5.0523095461873185e-05)	(8, 6.430212149692951e-05)	(9, 7.348813885363372e-05)	(10, 0.00015156928638561954)	(12, 0.0001883133558124364)	(14, 0.0003123245901279433)	(16, 0.00047996940688779517)	(18, 0.0006522072323259993)	(20, 0.000856596118512668)	(22, 0.0011229906218570903)	(24, 0.0013985711425582167)	(26, 0.0017706048455047372)	(28, 0.002271242791445117)	(30, 0.0030176067016773347)	(32, 0.004471293948375777)	(34, 0.0061500386203134725)	(36, 0.008389130351010124)	(38, 0.011383772009295698)	(40, 0.015354428011731095)	(42, 0.019060986015161246)	(44, 0.023031642017596644)	(46, 0.027385814244674442)	(48, 0.032036235531505954)	(50, 0.03709773109504997)	(52, 0.0422258252844301)	(54, 0.04790737701955166)	(56, 0.054241135986999214)	(58, 0.06072416773649321)	(60, 0.06769865141457088)	(62, 0.0745445308496547)	(64, 0.0821115126472398)	(66, 0.09012401628662506)	(68, 0.09878643065399713)	(70, 0.10813779632312202)	(72, 0.11696785550725394)	(74, 0.12636744776750153)	(76, 0.13718398320502073)	(78, 0.14787880391256364)	(80, 0.15897321637512313)	(82, 0.17066242346152927)	(84, 0.18268692018145508)	(86, 0.19604109291376381)	(88, 0.20944349223719527)
SRR9127157_1 - polya	(1, 0.002516968755736955)	(2, 0.002737433172297856)	(3, 0.002980862632250518)	(4, 0.003205920057489771)	(5, 0.0038719063158508264)	(6, 0.004432253374609784)	(7, 0.0047170199126676145)	(8, 0.00503393751147391)	(9, 0.005405971214420431)	(10, 0.007052564825609661)	(12, 0.010497321334373741)	(14, 0.016307477312489157)	(16, 0.022528707567317088)	(18, 0.02792319626004164)	(20, 0.03346236472613428)	(22, 0.039959175501663335)	(24, 0.04638479464267793)	(26, 0.05338224336414737)	(28, 0.060097222051898144)	(30, 0.06669737552269013)	(32, 0.0734605808015636)	(34, 0.08005154825499888)	(36, 0.08553789712129048)	(38, 0.09128145447356978)	(40, 0.09775759671004625)	(42, 0.10389155979998549)	(44, 0.11011049355047425)	(46, 0.1161571894755248)	(48, 0.12269763383349819)	(50, 0.12977775671117797)	(52, 0.136299829034438)	(54, 0.14323297563441045)	(56, 0.1500696690521376)	(58, 0.15672953163574815)	(60, 0.16420006025108785)	(62, 0.1715488741364512)	(64, 0.17915948951648064)	(66, 0.18643711176732958)	(68, 0.1937009549921434)	(70, 0.20121741369426666)	(72, 0.20866497726621458)	(74, 0.21587600089122738)	(76, 0.2232041462375382)	(78, 0.2305667391489366)	(80, 0.23809008736407739)	(82, 0.245507796379616)	(84, 0.2524547220056236)	(86, 0.25999873875981694)	(88, 0.26751749396627933)
SRR9127157_2 - nextera_transposase_sequence	(1, 0.0)	(2, 4.593008678352108e-06)	(3, 9.186017356704215e-06)	(4, 1.837203471340843e-05)	(5, 1.837203471340843e-05)	(6, 1.837203471340843e-05)	(7, 1.837203471340843e-05)	(8, 3.2151060748464755e-05)	(9, 5.511610414022529e-05)	(10, 0.00016075530374232377)	(12, 0.00020438888618666876)	(14, 0.0003284001205021757)	(16, 0.0005258994936713163)	(18, 0.0007073233364662246)	(20, 0.0009507527964188862)	(22, 0.0013090074733303507)	(24, 0.0017177852457036882)	(26, 0.0022551672610708847)	(28, 0.0030130136929989826)	(30, 0.004041847636949855)	(32, 0.005812452482454592)	(34, 0.007851748335642929)	(36, 0.010476652795321156)	(38, 0.013882368730319245)	(40, 0.01827787803550221)	(42, 0.022397806819984052)	(44, 0.026855321742324773)	(46, 0.031765248019483175)	(48, 0.03686578415679319)	(50, 0.04247614425740029)	(52, 0.04822659112269713)	(54, 0.054622355707302436)	(56, 0.06175759468912244)	(58, 0.06904440295732805)	(60, 0.07691222682334521)	(62, 0.08456188277714066)	(64, 0.0929877571975776)	(66, 0.10201072274620031)	(68, 0.11181220326580371)	(70, 0.1225736225991827)	(72, 0.13260475355270368)	(74, 0.14335698686872597)	(76, 0.1554182276580786)	(78, 0.1672842655786013)	(80, 0.17972672608825713)	(82, 0.1927065686132802)	(84, 0.20603088678917966)	(86, 0.22042996899581352)	(88, 0.23500358553222475)
SRR9127157_2 - polya	(1, 0.002640979990052462)	(2, 0.0029303395367886445)	(3, 0.0031921410314547146)	(4, 0.003495279604225954)	(5, 0.004147486836551953)	(6, 0.004730798938702671)	(7, 0.0050201584854388534)	(8, 0.005360041127636909)	(9, 0.005658586691729796)	(10, 0.0074245985285561825)	(12, 0.011337841922512177)	(14, 0.016897678927657405)	(16, 0.02313728121719874)	(18, 0.029059965907933784)	(20, 0.034626692426096534)	(22, 0.041210770366514285)	(24, 0.04801531272349293)	(26, 0.05475784946331383)	(28, 0.0612523637345037)	(30, 0.06741618138085223)	(32, 0.07392447467807717)	(34, 0.0809701499906693)	(36, 0.08684920109896)	(38, 0.0928821179979755)	(40, 0.09922965599145811)	(42, 0.10548992682005204)	(44, 0.11185583684824804)	(46, 0.11777852153898309)	(48, 0.12497806264230002)	(50, 0.1323291730320026)	(52, 0.1389913321199523)	(54, 0.14592218221558562)	(56, 0.15325262406623558)	(58, 0.16010539301433696)	(60, 0.16779638604623753)	(62, 0.1753771468698577)	(64, 0.18316688958834287)	(66, 0.19071549935121457)	(68, 0.19847079450461208)	(70, 0.20636847292703855)	(72, 0.21402731489819068)	(74, 0.22209263813737698)	(76, 0.2298686018298271)	(78, 0.2376560480439731)	(80, 0.245742039822212)	(82, 0.2541334666775613)	(84, 0.2622240514644785)	(86, 0.2705419901809742)	(88, 0.27855449382035946)
SRR9127293_1 - nextera_transposase_sequence	(1, 3.2459678911452984e-06)	(2, 6.491935782290597e-06)	(3, 1.6229839455726492e-05)	(4, 2.5967743129162387e-05)	(5, 2.5967743129162387e-05)	(6, 2.5967743129162387e-05)	(7, 3.895161469374358e-05)	(8, 4.2197582584888876e-05)	(9, 9.413306884321364e-05)	(10, 0.00015580645877497431)	(12, 0.00020125000925100847)	(14, 0.0002677923510194871)	(16, 0.0004106149382298802)	(18, 0.0005518145414947007)	(20, 0.0007676714062558631)	(22, 0.001087399243533675)	(24, 0.0014412097436685123)	(26, 0.0017641835488374697)	(28, 0.0023095061545498796)	(30, 0.003572187664205401)	(32, 0.0068214015232418435)	(34, 0.010142026675883485)	(36, 0.014436442195868714)	(38, 0.02117182556999521)	(40, 0.02977364048153025)	(42, 0.03852801588394912)	(44, 0.04735704854786433)	(46, 0.056750879624838824)	(48, 0.06695457969065406)	(50, 0.0773011023436797)	(52, 0.08838770567588647)	(54, 0.09966582111367081)	(56, 0.1116109829530855)	(58, 0.12398785852202251)	(60, 0.13700581274946075)	(62, 0.1500984242383953)	(64, 0.16322187242229574)	(66, 0.1771324678197989)	(68, 0.19180099671988454)	(70, 0.20725018089779057)	(72, 0.2222189618278071)	(74, 0.23718774275782367)	(76, 0.2534614027800806)	(78, 0.2693033490728153)	(80, 0.2859438034667716)	(82, 0.303119842562767)	(84, 0.31962234332134964)	(86, 0.3366003783759851)	(88, 0.35437854451578793)
SRR9127293_1 - polya	(1, 0.0009153629453029741)	(2, 0.0010581855325133673)	(3, 0.0012432057023086492)	(4, 0.0014996371657091277)	(5, 0.0020417138035303925)	(6, 0.0024247380146855376)	(7, 0.0026487097991745633)	(8, 0.003015504170873982)	(9, 0.003385544510464546)	(10, 0.005117268380390562)	(12, 0.008457369340379075)	(14, 0.01363793409464697)	(16, 0.020129869876937566)	(18, 0.026168993138413393)	(20, 0.03150374136751069)	(22, 0.03755097954871438)	(24, 0.04391956855114146)	(26, 0.050822119271661935)	(28, 0.057312432070006955)	(30, 0.0637784001091684)	(32, 0.0704959306598936)	(34, 0.07795191890585434)	(36, 0.08448605227072982)	(38, 0.09101693966771417)	(40, 0.0982538250810226)	(42, 0.10551992420535136)	(44, 0.11251985396260619)	(46, 0.11910916878163114)	(48, 0.12637364492201433)	(50, 0.13372576219545843)	(52, 0.14085877663625024)	(54, 0.14813623664819797)	(56, 0.1555467813436827)	(58, 0.16303847523644605)	(60, 0.17113878810879912)	(62, 0.17938030058441704)	(64, 0.18746113764942327)	(66, 0.19518004929456678)	(68, 0.2034085778986201)	(70, 0.21162412263110886)	(72, 0.2198461592993799)	(74, 0.22794160321989626)	(76, 0.23600945641333793)	(78, 0.2439555858108616)	(80, 0.2524113321672951)	(82, 0.2605457277025052)	(84, 0.2685583994417974)	(86, 0.2767528453829937)	(88, 0.2850771300398358)
SRR9127293_2 - nextera_transposase_sequence	(1, 3.2459678911452984e-06)	(2, 6.491935782290597e-06)	(3, 9.737903673435895e-06)	(4, 3.2459678911452984e-05)	(5, 3.895161469374358e-05)	(6, 3.895161469374358e-05)	(7, 3.895161469374358e-05)	(8, 4.544355047603417e-05)	(9, 9.413306884321364e-05)	(10, 0.0001622983945572649)	(12, 0.0002142338808155897)	(14, 0.0002807762225840683)	(16, 0.0004284677616311793)	(18, 0.0005940121240795896)	(20, 0.0008390826998610596)	(22, 0.0012545665899276579)	(24, 0.0017593145970007517)	(26, 0.0022413408288358286)	(28, 0.0029392239254320673)	(30, 0.004296038503930802)	(32, 0.007790322938748716)	(34, 0.0113397888277161)	(36, 0.015893881778992952)	(38, 0.0228694667770642)	(40, 0.031834830092407514)	(42, 0.040988459545437256)	(44, 0.05021999222785448)	(46, 0.060087734616936186)	(48, 0.07085785607975628)	(50, 0.08162635455863082)	(52, 0.09327775630389687)	(54, 0.10509632539555688)	(56, 0.11770853363660194)	(58, 0.1308189979489378)	(60, 0.1447166094748764)	(62, 0.15864668067972645)	(64, 0.17249235671940671)	(66, 0.18739621829160036)	(68, 0.20352056379086464)	(70, 0.22042881053584049)	(72, 0.23648174474149958)	(74, 0.2526921083898792)	(76, 0.27037289549294763)	(78, 0.2874710313595555)	(80, 0.30531087088929)	(82, 0.32366844229766223)	(84, 0.34151964271501584)	(86, 0.35952340362325325)	(88, 0.37848472505937847)
SRR9127293_2 - polya	(1, 0.0010841532756425297)	(2, 0.001317862963804991)	(3, 0.001535342812511726)	(4, 0.0018047581474767858)	(5, 0.0025188710835287514)	(6, 0.0031161291754994865)	(7, 0.0034017743499202726)	(8, 0.0037523388821639647)	(9, 0.004099657446516512)	(10, 0.005768084942565196)	(12, 0.008695947980378253)	(14, 0.013751542970837055)	(16, 0.019693287195578522)	(18, 0.02541268261977654)	(20, 0.030771775608057425)	(22, 0.03678493112640409)	(24, 0.043385606833048054)	(26, 0.04991324826214125)	(28, 0.056153621532868084)	(30, 0.06253032545502302)	(32, 0.06923000318234693)	(34, 0.07697975152245631)	(36, 0.08338080020379485)	(38, 0.09011456059397577)	(40, 0.09735144600728421)	(42, 0.10417122454658048)	(44, 0.11109162809050226)	(46, 0.11788219291877822)	(48, 0.1256270723070509)	(50, 0.1335001674270238)	(52, 0.14131808109284727)	(54, 0.14932426089635714)	(56, 0.1571194527869426)	(58, 0.16499903984269781)	(60, 0.1729273164168202)	(62, 0.1809789397708061)	(64, 0.18934704499417868)	(66, 0.1977833155432653)	(68, 0.206443557876841)	(70, 0.21501291310946455)	(72, 0.22353357882372096)	(74, 0.23208021228110653)	(76, 0.24050512194257417)	(78, 0.2490890840307079)	(80, 0.2579132477427864)	(82, 0.26625376223908426)	(84, 0.2749545791712992)	(86, 0.2837381682847384)	(88, 0.2922977856136886)
SRR9127296_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.9687597207511213e-05)	(4, 3.9375194415022426e-05)	(5, 3.9375194415022426e-05)	(6, 3.9375194415022426e-05)	(7, 3.9375194415022426e-05)	(8, 3.9375194415022426e-05)	(9, 0.00013781318045257847)	(10, 0.00019687597207511214)	(12, 0.00026578256230140135)	(14, 0.0005020337287915359)	(16, 0.00064969070784787)	(18, 0.0009056294715455158)	(20, 0.0012403186240732063)	(22, 0.0016636019640346974)	(24, 0.0020081349151661438)	(26, 0.0025298562411651907)	(28, 0.0037800186638421527)	(30, 0.006870971425421413)	(32, 0.013279284316466314)	(34, 0.020012442561435147)	(36, 0.02911795626990908)	(38, 0.0435489650230148)	(40, 0.06211436918969787)	(42, 0.08093571212007859)	(44, 0.10054455893875976)	(46, 0.12022231234766723)	(48, 0.14006741033283854)	(50, 0.16103470135883796)	(52, 0.18272058968291155)	(54, 0.20513491910366308)	(56, 0.23047285670973)	(58, 0.2554170423716467)	(60, 0.28038091563077094)	(62, 0.3047344733764623)	(64, 0.33021022416298185)	(66, 0.35595175751180275)	(68, 0.383248611040017)	(70, 0.41148062543558805)	(72, 0.43856091539451975)	(74, 0.4668224611859021)	(76, 0.4983915233081463)	(78, 0.5282379206747334)	(80, 0.5589308847212433)	(82, 0.5901455700937523)	(84, 0.6204447821961121)	(86, 0.6540219792335225)	(88, 0.6877665208471967)
SRR9127296_1 - polya	(1, 0.0004725023329802691)	(2, 0.0005709403190178251)	(3, 0.0007875038883004484)	(4, 0.0010434426519980943)	(5, 0.001653758165430942)	(6, 0.0022443860816562782)	(7, 0.002716888414636547)	(8, 0.003169703150409305)	(9, 0.003622517886182063)	(10, 0.005227057058594227)	(12, 0.008573948583871133)	(14, 0.015287419231632456)	(16, 0.02228636003890269)	(18, 0.02820248299975981)	(20, 0.03474860907125729)	(22, 0.0415309863092449)	(24, 0.04882524107462781)	(26, 0.05559777451401166)	(28, 0.06253765252965937)	(30, 0.06972362551040096)	(32, 0.07810069812219697)	(34, 0.08658605251863431)	(36, 0.09423468403375242)	(38, 0.10126315623683392)	(40, 0.10819319045387787)	(42, 0.1152807254485819)	(44, 0.12281123138045494)	(46, 0.12980032838912142)	(48, 0.13701583276567428)	(50, 0.1449696220375088)	(52, 0.15280528572609828)	(54, 0.16010938429008492)	(56, 0.16784660999263684)	(58, 0.17584961825749013)	(60, 0.1846795056050589)	(62, 0.19418861505628685)	(64, 0.2026641256541204)	(66, 0.21097229167569015)	(68, 0.2196938972386176)	(70, 0.22893722412754414)	(72, 0.23720601495469884)	(74, 0.24586855772600377)	(76, 0.25414719235176225)	(78, 0.26279004752585966)	(80, 0.27186602983852237)	(82, 0.2812077947134864)	(84, 0.2897423681029425)	(86, 0.2984049108742475)	(88, 0.30753011217992887)
SRR9127296_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.9687597207511213e-05)	(5, 1.9687597207511213e-05)	(6, 1.9687597207511213e-05)	(7, 1.9687597207511213e-05)	(8, 1.9687597207511213e-05)	(9, 0.00011812558324506727)	(10, 0.00021656356928262334)	(12, 0.000374064346942713)	(14, 0.0006300031106403587)	(16, 0.0008859418743380046)	(18, 0.0011812558324506726)	(20, 0.0015946953738084082)	(22, 0.0022050108872412556)	(24, 0.002815326400674103)	(26, 0.003632361684785819)	(28, 0.005167994266971693)	(30, 0.008475510597833576)	(32, 0.015513826599518835)	(34, 0.02275886237188296)	(36, 0.03235656601054468)	(38, 0.04762429764496962)	(40, 0.06712486267900948)	(42, 0.08673370949769064)	(44, 0.10715959160048352)	(46, 0.12782172486976653)	(48, 0.14864135891670965)	(50, 0.1706914677891222)	(52, 0.19338142357077887)	(54, 0.21691794603235853)	(56, 0.24349620226249868)	(58, 0.2696117999582623)	(60, 0.29594396122330857)	(62, 0.3216264317805069)	(64, 0.3487756283296649)	(66, 0.3761020132536904)	(68, 0.4053577827040521)	(70, 0.43561761961199685)	(72, 0.4645091685140196)	(74, 0.494257127894569)	(76, 0.5274307291892254)	(78, 0.5591769796863373)	(80, 0.5915926084885044)	(82, 0.6249827733524433)	(84, 0.657142463390913)	(86, 0.6931313910862436)	(88, 0.7287364106360275)
SRR9127296_2 - polya	(1, 0.0007284410966779148)	(2, 0.001023755054790583)	(3, 0.0011418806380356502)	(4, 0.0013387566101107624)	(5, 0.0020278225123736547)	(6, 0.002972827178334193)	(7, 0.0033272039280693947)	(8, 0.0036618930805970853)	(9, 0.003937519441502242)	(10, 0.00584721637063083)	(12, 0.009587859840057961)	(14, 0.015198825044198654)	(16, 0.02210917166403509)	(18, 0.02788748144443963)	(20, 0.0339709489815606)	(22, 0.04078285761535948)	(24, 0.04791961160308229)	(26, 0.05554855552099289)	(28, 0.06255734012686688)	(30, 0.06936924876066576)	(32, 0.07590553103355949)	(34, 0.08344588076403628)	(36, 0.09025778939783516)	(38, 0.0975422003646143)	(40, 0.10538770785180751)	(42, 0.1123964924576815)	(44, 0.11980887280630947)	(46, 0.12686687640520225)	(48, 0.13529316801001706)	(50, 0.14349305224694547)	(52, 0.1519587190461753)	(54, 0.15985344552638728)	(56, 0.16753160843731668)	(58, 0.17599727523654649)	(60, 0.18408887768883359)	(62, 0.19212141734949817)	(64, 0.2009119295026519)	(66, 0.21006666220414463)	(68, 0.21866029838522327)	(70, 0.22757877992022585)	(72, 0.23664491843428476)	(74, 0.2457701197399662)	(76, 0.2549445400386664)	(78, 0.2646209940661582)	(80, 0.2738052581634622)	(82, 0.2822413935668807)	(84, 0.29141581386558096)	(86, 0.30035398299779104)	(88, 0.3088491811928321)
SRR9127296_2 - polyg	(1, 0.03364610362763666)	(2, 0.03374454161367422)	(3, 0.03402016797457937)	(4, 0.0344139199187296)	(5, 0.03518173620982254)	(6, 0.03587080211208543)	(7, 0.03624486645902814)	(8, 0.036461430028310766)	(9, 0.03683549437525348)	(10, 0.03775096764540275)	(12, 0.03875503510298582)	(14, 0.039542538991286263)	(16, 0.04022176109494541)	(18, 0.04084192040698201)	(20, 0.04157036150365992)	(22, 0.04240708438497916)	(24, 0.04300755609980824)	(26, 0.043745840995089914)	(28, 0.04457272007780538)	(30, 0.045281473577275785)	(32, 0.045990227076746194)	(34, 0.047004138332933015)	(36, 0.04791961160308229)	(38, 0.04867758409557147)	(40, 0.049474931782475674)	(42, 0.05019352908054983)	(44, 0.051158221343717884)	(46, 0.05226072678733851)	(48, 0.05339276362677041)	(50, 0.05466261364665488)	(52, 0.05563714970842669)	(54, 0.05651324778416093)	(56, 0.05739918965849894)	(58, 0.058511538900723324)	(60, 0.05964357574015522)	(62, 0.06077561257958711)	(64, 0.06212421298830163)	(66, 0.06356140758444995)	(68, 0.06472297581969311)	(70, 0.06602235723538885)	(72, 0.06731189485248085)	(74, 0.0687392456500254)	(76, 0.07092456894005914)	(78, 0.07542318490197544)	(80, 0.0807782113424185)	(82, 0.08703886725440707)	(84, 0.09685313446235141)	(86, 0.11041788893832663)	(88, 0.12639437407222198)
SRR9127369_1 - nextera_transposase_sequence	(1, 0.0)	(2, 4.53296766185403e-06)	(3, 4.53296766185403e-06)	(4, 3.173077363297821e-05)	(5, 6.346154726595642e-05)	(6, 6.346154726595642e-05)	(7, 6.346154726595642e-05)	(8, 7.706045025151851e-05)	(9, 0.00015412090050303701)	(10, 0.00025837915672567973)	(12, 0.0003717033482720305)	(14, 0.0005258242487750674)	(16, 0.0008159341791337254)	(18, 0.0011627062052655588)	(20, 0.0015978711008035455)	(22, 0.0020602338023126567)	(24, 0.002656319049846462)	(26, 0.0034586543259946248)	(28, 0.005886058508917458)	(30, 0.015810991204546855)	(32, 0.046433454244201755)	(34, 0.07892576644437144)	(36, 0.12422144580544785)	(38, 0.1993395194138619)	(40, 0.29842339305049825)	(42, 0.3963400275142071)	(44, 0.4992202615676462)	(46, 0.6083922547357387)	(48, 0.7229698118405921)	(50, 0.8477918758612355)	(52, 0.9789056989965323)	(54, 1.1149695228185739)	(56, 1.2659717415702554)	(58, 1.4196302793717832)	(60, 1.5760788587691823)	(62, 1.7361198150386006)	(64, 1.9010654423181452)	(66, 2.08136649755222)	(68, 2.2683287487653896)	(70, 2.47147822749904)	(72, 2.66785545254588)	(74, 2.8651234057382746)	(76, 3.0885307169527505)	(78, 3.306337546621006)	(80, 3.539798980109474)	(82, 3.786077379661834)	(84, 4.023013332863114)	(86, 4.28284983869208)	(88, 4.544483666198969)
SRR9127369_1 - polya	(1, 0.0008159341791337254)	(2, 0.0010244506915790107)	(3, 0.001201236430391318)	(4, 0.0014233518458221653)	(5, 0.0019310442239498168)	(6, 0.0023979398931207817)	(7, 0.0026653849851701696)	(8, 0.002996291624485514)	(9, 0.00336346200509569)	(10, 0.005493956806167084)	(12, 0.009639355732932595)	(14, 0.01658386219089297)	(16, 0.023902338480956298)	(18, 0.030747119650355887)	(20, 0.03749444201502561)	(22, 0.04515742384738984)	(24, 0.052813606228261305)	(26, 0.06103867605069544)	(28, 0.06854980346638756)	(30, 0.07568016159848395)	(32, 0.08302356921068749)	(34, 0.09130756761272574)	(36, 0.09870310435304058)	(38, 0.10622556418788734)	(40, 0.11435090872176068)	(42, 0.12242412412752271)	(44, 0.13080784781812177)	(46, 0.13892185993284045)	(48, 0.14794246557993)	(50, 0.15689507671209169)	(52, 0.16573436365270705)	(54, 0.1740614252475329)	(56, 0.1830072369282018)	(58, 0.19237008163376135)	(60, 0.20220662145998458)	(62, 0.21168279035709042)	(64, 0.22146720105520235)	(66, 0.23141706507297194)	(68, 0.24171143463304245)	(70, 0.25225285093068395)	(72, 0.261599830249427)	(74, 0.27138197446370804)	(76, 0.28135903628744874)	(78, 0.29196844710001807)	(80, 0.30236480843248026)	(82, 0.3124869252214003)	(84, 0.3225999760749967)	(86, 0.3327288923154095)	(88, 0.34271048710681207)
SRR9127369_2 - nextera_transposase_sequence	(1, 0.0)	(2, 4.53296766185403e-06)	(3, 4.53296766185403e-06)	(4, 3.173077363297821e-05)	(5, 7.252748258966448e-05)	(6, 7.252748258966448e-05)	(7, 8.612638557522657e-05)	(8, 9.972528856078867e-05)	(9, 0.0001677198034885991)	(10, 0.00029010993035865794)	(12, 0.0004034341219050087)	(14, 0.0005824863445482429)	(16, 0.0008839286940615359)	(18, 0.0012556320423335664)	(20, 0.0017157282600117503)	(22, 0.0022914151530672123)	(24, 0.0030756185585679593)	(26, 0.004061539025021211)	(28, 0.006747322364669723)	(30, 0.016953299055334072)	(32, 0.04797013028157027)	(34, 0.08085907715215218)	(36, 0.12665791592369438)	(38, 0.2022678165234196)	(40, 0.30204523421231955)	(42, 0.4007483385653602)	(44, 0.5043901111859908)	(46, 0.6144890962409323)	(48, 0.7299800463296493)	(50, 0.8557041709150017)	(52, 0.9877472524209787)	(54, 1.1249488511261456)	(56, 1.2772474986291171)	(58, 1.432304456954327)	(60, 1.5901061271987897)	(62, 1.751330188027952)	(64, 1.9177875600227248)	(66, 2.0995912940367045)	(68, 2.2884619246355142)	(70, 2.4937849613630236)	(72, 2.6917215272855417)	(74, 2.890970387346166)	(76, 3.1162384817858335)	(78, 3.336042083709135)	(80, 3.5715138883556357)	(82, 3.8198865189677726)	(84, 4.0589620329054465)	(86, 4.321067289049171)	(88, 4.584967600386989)
