Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR9127010_2_clean - nextera_transposase_sequence	(1, 0.0001595446399612871)	(2, 0.00036204360606599767)	(3, 0.0005798834029362166)	(4, 0.0009112453474711975)	(5, 0.0012978342827620086)	(6, 0.001681355051899718)	(7, 0.0022060114640801045)	(8, 0.0027460087070259992)	(9, 0.003298278614584301)	(10, 0.004237137457433413)	(11, 0.00496429283571851)	(12, 0.005694516380156709)	(13, 0.006559739235331381)	(14, 0.007351326102831614)	(15, 0.008422116090264099)	(16, 0.010471651080536017)	(17, 0.012956865664548374)	(18, 0.015190490624006394)	(19, 0.017669568875712548)	(20, 0.01989398933671126)	(21, 0.02267681603757448)	(22, 0.026536569058176387)	(23, 0.030500639727983753)	(24, 0.034789936010019895)	(25, 0.04044149806403318)	(26, 0.04526158709055591)	(27, 0.0503670155693171)	(28, 0.05496926479896961)	(29, 0.05978321749318614)	(30, 0.06444683004590068)	(31, 0.06932214606317925)	(32, 0.07477734548339403)	(33, 0.08025095390052742)	(34, 0.08585956162839728)	(35, 0.09144669219319543)	(36, 0.09710745874566802)	(37, 0.10325913188263687)	(38, 0.10929421470578787)	(39, 0.11578645428575102)	(40, 0.12280335027789455)	(41, 0.12923729470094875)	(42, 0.13602407823160967)	(43, 0.14313915554065246)	(44, 0.15082797992032526)	(45, 0.1593728226567134)	(46, 0.16872152492521422)	(47, 0.16879822907904177)	(48, 0.16883811523903208)	(49, 0.16890868306055343)	(50, 0.16897311454976854)	(51, 0.1690130007097589)	(52, 0.1690651595343616)	(53, 0.16914800002049535)	(54, 0.16922163600816978)	(55, 0.16936890798351867)	(56, 0.16945481663580553)	(57, 0.16954072528809236)	(58, 0.1696174294419199)	(59, 0.16972174709112536)	(60, 0.16981992840802462)	(61, 0.16993651872184248)	(62, 0.17004697270335414)	(63, 0.1701482221864065)	(64, 0.17028015333098986)	(65, 0.17039060731250152)	(66, 0.17050719762631938)	(67, 0.17066674226628067)	(68, 0.17078026441394545)	(69, 0.1708999228939164)	(70, 0.17098889971235637)	(71, 0.17110855819232731)	(72, 0.17121287584153277)	(73, 0.17138162497995338)	(74, 0.17151969245684295)
SRR9127010_2_clean - polya	(1, 0.013656407547455555)	(2, 0.016675483042107603)	(3, 0.019940011829007787)	(4, 0.02306033680671219)	(5, 0.026183729950569695)	(6, 0.02954644005436913)	(7, 0.033136194453498094)	(8, 0.036462086563460304)	(9, 0.04035252124559323)	(10, 0.043779662838607805)	(11, 0.04771305184688415)	(12, 0.05158200936594536)	(13, 0.054941651303591695)	(14, 0.058740041001131574)	(15, 0.06216718259414614)	(16, 0.0663000024023741)	(17, 0.07042668587829586)	(18, 0.07402257660973101)	(19, 0.0787659614824262)	(20, 0.08203662660163259)	(21, 0.08543922286542235)	(22, 0.0888479554615183)	(23, 0.09239782370065695)	(24, 0.09650609817966009)	(25, 0.10040880552640542)	(26, 0.10411208207319914)	(27, 0.1080546755799348)	(28, 0.1119082922682305)	(29, 0.11561770514733043)	(30, 0.11949279899869784)	(31, 0.12317153021626674)	(32, 0.12716321438145203)	(33, 0.1311487622143311)	(34, 0.1355423761455727)	(35, 0.13999735339987635)	(36, 0.14371597077743556)	(37, 0.1479837898964)	(38, 0.15216570036307758)	(39, 0.15665749561121842)	(40, 0.1613916759854543)	(41, 0.16563494977519394)	(42, 0.16957447511577647)	(43, 0.1738300215701285)	(44, 0.17814386318138947)	(45, 0.18289952071869706)	(46, 0.1879036997144059)	(47, 0.1924691309502212)	(48, 0.19732910613673424)	(49, 0.20173499273258824)	(50, 0.20611633399921744)	(51, 0.21070324239810445)	(52, 0.21516742415086737)	(53, 0.21984637753434744)	(54, 0.22445169493015305)	(55, 0.2292687157905227)	(56, 0.23342608092797545)	(57, 0.23806514815146518)	(58, 0.24273796520263902)	(59, 0.24734941893075085)	(60, 0.25172155569892074)	(61, 0.25628085060242983)	(62, 0.2606591237029059)	(63, 0.26560807570785894)	(64, 0.27042509656822855)	(65, 0.2751531406101582)	(66, 0.2795406182090936)	(67, 0.2840630951187655)	(68, 0.288665344348418)	(69, 0.2932583890796112)	(70, 0.29796802412462225)	(71, 0.302395387883548)	(72, 0.30727070390082656)	(73, 0.3119680662812252)	(74, 0.3164414525324475)
SRR9127157_1_clean - polya	(1, 0.016328145851541742)	(2, 0.01904720698912619)	(3, 0.0216835939705003)	(4, 0.024480736255616732)	(5, 0.02706200713285062)	(6, 0.030180660025451698)	(7, 0.033570300430075556)	(8, 0.03667058128796322)	(9, 0.03993161744959322)	(10, 0.043183467593866515)	(11, 0.047018629840290524)	(12, 0.05012350370685655)	(13, 0.05351314411148041)	(14, 0.057114062915308454)	(15, 0.06030620394676317)	(16, 0.0635442750650014)	(17, 0.06713600785147275)	(18, 0.0702776257874656)	(19, 0.07397499777353904)	(20, 0.07665731484169667)	(21, 0.07961521243055543)	(22, 0.08199898393462017)	(23, 0.08491554444537376)	(24, 0.08818576662436046)	(25, 0.09138250066449354)	(26, 0.09467109487819364)	(27, 0.09765195751044416)	(28, 0.10066956421212149)	(29, 0.10387089126093291)	(30, 0.10692524203203706)	(31, 0.10986476758618241)	(32, 0.11304312959160207)	(33, 0.11630875876191042)	(34, 0.11969380615785592)	(35, 0.12331769000507574)	(36, 0.1268497136787285)	(37, 0.13006022674489662)	(38, 0.13315132158542758)	(39, 0.13667415924172366)	(40, 0.14040368228854558)	(41, 0.14369686951092403)	(42, 0.14705435885479942)	(43, 0.15037051112056965)	(44, 0.15370044241237493)	(45, 0.15760909279765256)	(46, 0.16141210398332811)	(47, 0.16492575562226747)	(48, 0.16879306892943996)	(49, 0.17251799896758352)	(50, 0.17641746333550445)	(51, 0.17995867302651392)	(52, 0.18351366174355846)	(53, 0.1872202197469886)	(54, 0.19073387138592796)	(55, 0.1944725804501066)	(56, 0.19847309100895127)	(57, 0.2020464517607092)	(58, 0.20574382374678266)	(59, 0.20921613830761684)	(60, 0.21300077745857898)	(61, 0.21651442909751833)	(62, 0.22033121930922894)	(63, 0.22396428917380545)	(64, 0.22757898700366858)	(65, 0.23143711429348435)	(66, 0.23512070725352274)	(67, 0.23887778835241477)	(68, 0.24249248618227787)	(69, 0.24578567340465632)	(70, 0.24944630132130297)	(71, 0.2532584985243352)	(72, 0.2570293586492623)	(73, 0.26083236983493785)	(74, 0.26443328863876586)
SRR9127157_2_clean - polya	(1, 0.016433785051143842)	(2, 0.019607554047885146)	(3, 0.02257923066277896)	(4, 0.02532584985243352)	(5, 0.027884155686275645)	(6, 0.031181935917332457)	(7, 0.03457616933063466)	(8, 0.03770400824059245)	(9, 0.041392194209309195)	(10, 0.044644044353582484)	(11, 0.04830467227022912)	(12, 0.051308499945871396)	(13, 0.05465680327239008)	(14, 0.05800051359023042)	(15, 0.06098137622248093)	(16, 0.06404491301094178)	(17, 0.06736106527671201)	(18, 0.07069558957719564)	(19, 0.07469150712736197)	(20, 0.07749324242115675)	(21, 0.08051544213151245)	(22, 0.08345956069433615)	(23, 0.08640367925715985)	(24, 0.08965093639275479)	(25, 0.09278336831139092)	(26, 0.09598010235152399)	(27, 0.09901148807923638)	(28, 0.10227711724954473)	(29, 0.10553815341117473)	(30, 0.10852360905210359)	(31, 0.11133453036325508)	(32, 0.11460934555092014)	(33, 0.11822404338078325)	(34, 0.12213728677473924)	(35, 0.1257290195612106)	(36, 0.1293437173910737)	(37, 0.13247614930970983)	(38, 0.13592549882715227)	(39, 0.13925543011895755)	(40, 0.1430400692699197)	(41, 0.14672366222995809)	(42, 0.15028324395568096)	(43, 0.1536636983429481)	(44, 0.1570487457388936)	(45, 0.160980361167563)	(46, 0.16514162703015003)	(47, 0.1686460926517327)	(48, 0.17263282418454232)	(49, 0.17650013749171478)	(50, 0.1803720438075656)	(51, 0.18411075287174422)	(52, 0.1878540549446012)	(53, 0.19183160046005412)	(54, 0.195639204654408)	(55, 0.1997637264475682)	(56, 0.20346569144232002)	(57, 0.2072457375846038)	(58, 0.21127839920419694)	(59, 0.2153386188758602)	(60, 0.21930697837395643)	(61, 0.22313295460302374)	(62, 0.22701404693623126)	(63, 0.2308951392694388)	(64, 0.2348083826633948)	(65, 0.23891453242184157)	(66, 0.24293800802407803)	(67, 0.24719572706891044)	(68, 0.251416702044316)	(69, 0.2553896545510906)	(70, 0.25937179307522185)	(71, 0.2635927680506274)	(72, 0.2677769989566062)	(73, 0.27174535845470243)	(74, 0.27558970671848315)
SRR9127293_1_clean - nextera_transposase_sequence	(1, 6.816532571405127e-05)	(2, 0.00014282258721039313)	(3, 0.0002142338808155897)	(4, 0.00027915323863849566)	(5, 0.0003895161469374358)	(6, 0.0005355847020389742)	(7, 0.0007108669681608203)	(8, 0.0008536895553712135)	(9, 0.0010387097251664955)	(10, 0.0012334677986352133)	(11, 0.0013795363537367517)	(12, 0.0015385887804028713)	(13, 0.0018599396016262559)	(14, 0.0021488307439381875)	(15, 0.0026097581844808197)	(16, 0.003924375180394665)	(17, 0.005680443809504272)	(18, 0.007352117273444101)	(19, 0.009043266544730802)	(20, 0.010630544843500851)	(21, 0.012698226390160407)	(22, 0.015564416038041705)	(23, 0.01899215813109114)	(24, 0.02274125104536396)	(25, 0.027259638349838213)	(26, 0.031677400649686965)	(27, 0.036241231504637254)	(28, 0.04020455829972566)	(29, 0.04476189721889366)	(30, 0.04934195791329968)	(31, 0.05408431700226296)	(32, 0.05880720028387937)	(33, 0.06400399487760298)	(34, 0.06929492254016982)	(35, 0.07426774534940442)	(36, 0.07972421737441968)	(37, 0.08535597166555677)	(38, 0.09080595175478971)	(39, 0.0963500649128659)	(40, 0.10233238373624667)	(41, 0.10836988401377692)	(42, 0.1141444608921244)	(43, 0.12052603376611606)	(44, 0.12663169936936036)	(45, 0.13310091337641294)	(46, 0.13992718385149153)	(47, 0.13996938143407642)	(48, 0.14000184111298786)	(49, 0.1401057120855045)	(50, 0.1401479096680894)	(51, 0.14016738547543628)	(52, 0.1401901072506743)	(53, 0.1402128290259123)	(54, 0.14026476451217063)	(55, 0.1403264379021024)	(56, 0.1403491596773404)	(57, 0.14038486532414302)	(58, 0.14040109516359872)	(59, 0.14043680081040133)	(60, 0.1404627685535305)	(61, 0.1405504096865914)	(62, 0.14059585323706744)	(63, 0.14063805081965233)	(64, 0.14065103469121693)	(65, 0.14068998630591065)	(66, 0.14071595404903983)	(67, 0.1408068411499919)	(68, 0.1408717605078148)	(69, 0.14093343389774657)	(70, 0.1409788774482226)	(71, 0.14105678067761007)	(72, 0.14110871616386841)	(73, 0.1411931113290382)	(74, 0.14128399842999026)
SRR9127293_1_clean - polya	(1, 0.01261383122499063)	(2, 0.015619597492191176)	(3, 0.018755202475037532)	(4, 0.021559718732987072)	(5, 0.02405262207338666)	(6, 0.02693828752861483)	(7, 0.030125827997719512)	(8, 0.03297903377403623)	(9, 0.03636133231660963)	(10, 0.03950018326734713)	(11, 0.04334665521835431)	(12, 0.04634917551766371)	(13, 0.04962111115193817)	(14, 0.05309754276335479)	(15, 0.05636298646184696)	(16, 0.05930058740333345)	(17, 0.06303669644604169)	(18, 0.0660684304563714)	(19, 0.07050566856356702)	(20, 0.07351468079865871)	(21, 0.07686451966232066)	(22, 0.08023058836543834)	(23, 0.08344085060978104)	(24, 0.08672252414772894)	(25, 0.09058522593819184)	(26, 0.09406814948539075)	(27, 0.09772635529871149)	(28, 0.10147869418087546)	(29, 0.105042766925353)	(30, 0.10816863400452592)	(31, 0.11144706157458267)	(32, 0.11495270689701959)	(33, 0.1184940578662591)	(34, 0.12244440078978294)	(35, 0.12594030820854643)	(36, 0.1297088769301661)	(37, 0.1330457319222635)	(38, 0.13687597403381493)	(39, 0.14045303064985706)	(40, 0.14403657920168147)	(41, 0.14769153904711108)	(42, 0.15163863600274374)	(43, 0.15529359584817337)	(44, 0.15903295085877275)	(45, 0.16311637846583352)	(46, 0.16745299156840365)	(47, 0.1713124473909754)	(48, 0.17572047178715072)	(49, 0.17957992760972247)	(50, 0.18360492779474266)	(51, 0.18731506909432172)	(52, 0.1912913797609747)	(53, 0.19547867834055216)	(54, 0.19954263014026608)	(55, 0.2036942230730409)	(56, 0.2077289611617345)	(57, 0.2119195057092031)	(58, 0.21593152202265867)	(59, 0.22015777221692986)	(60, 0.22382571593392403)	(61, 0.22810390161445354)	(62, 0.23195037356546072)	(63, 0.23599484955782776)	(64, 0.23992571667400472)	(65, 0.2442298700976634)	(66, 0.2485372694892132)	(67, 0.2525070882200839)	(68, 0.2564671690472812)	(69, 0.26053436681488623)	(70, 0.26434837908698194)	(71, 0.2685162018592125)	(72, 0.2726418270488582)	(73, 0.2768648312752382)	(74, 0.2808703556529115)
SRR9127293_2_clean - nextera_transposase_sequence	(1, 6.167338993176067e-05)	(2, 0.0001655443624484102)	(3, 0.00024344759183589736)	(4, 0.0003148588854410939)	(5, 0.00044469760108690586)	(6, 0.0006037500277530255)	(7, 0.0008342137480243417)	(8, 0.001045201660948786)	(9, 0.0013146169959138458)	(10, 0.0015742944272054697)	(11, 0.001785282340129914)	(12, 0.002067681546659555)	(13, 0.002463689629379281)	(14, 0.0027850404506026658)	(15, 0.0032914114416213325)	(16, 0.004670947795358084)	(17, 0.006569839011678084)	(18, 0.00838108909493716)	(19, 0.0101826012745228)	(20, 0.01186725861002721)	(21, 0.014061532904441431)	(22, 0.017096512882662285)	(23, 0.02062812594822837)	(24, 0.02448108983501784)	(25, 0.029190989245069666)	(26, 0.03384895316886317)	(27, 0.03860754209728218)	(28, 0.04273965922271014)	(29, 0.04751123202269373)	(30, 0.052299034662133044)	(31, 0.05727510343925879)	(32, 0.062270648023731404)	(33, 0.06778554747078726)	(34, 0.07330044691784313)	(35, 0.07844530602530843)	(36, 0.08417768532107102)	(37, 0.09011131462608463)	(38, 0.09581123424293576)	(39, 0.10163125467175929)	(40, 0.10789272673377857)	(41, 0.11427105363987908)	(42, 0.1204286547293817)	(43, 0.12714780826405248)	(44, 0.13367869566103682)	(45, 0.14057637742972057)	(46, 0.14788305115268865)	(47, 0.14792200276738238)	(48, 0.1479512164784027)	(49, 0.14804210357935477)	(50, 0.1480745632582662)	(51, 0.14810377696928653)	(52, 0.1481394826160891)	(53, 0.14817843423078286)	(54, 0.14821413987758547)	(55, 0.1482887971390818)	(56, 0.14832774875377555)	(57, 0.1483537164969047)	(58, 0.14840240601527188)	(59, 0.1484738173088771)	(60, 0.14850627698778854)	(61, 0.14862313183186976)	(62, 0.14867182135023696)	(63, 0.14873674070805987)	(64, 0.14878543022642704)	(65, 0.1488406116805765)	(66, 0.14890228507050826)	(67, 0.14900615604302492)	(68, 0.1490775673366301)	(69, 0.14915222459812646)	(70, 0.14921065202016706)	(71, 0.1492560955706431)	(72, 0.14932426089635714)	(73, 0.14943462380465608)	(74, 0.14951577300193472)
SRR9127293_2_clean - polya	(1, 0.012561895738732305)	(2, 0.015317722478314663)	(3, 0.01834945648864437)	(4, 0.020975444512580918)	(5, 0.023601432536517464)	(6, 0.02649034395963678)	(7, 0.029453912644252435)	(8, 0.032699880535397734)	(9, 0.03612113069266488)	(10, 0.03928919535442269)	(11, 0.04274290519060129)	(12, 0.045768147265148704)	(13, 0.0487771595002404)	(14, 0.05231526450158877)	(15, 0.05539244206239451)	(16, 0.05855401478837004)	(17, 0.06213756334019444)	(18, 0.06521798686889133)	(19, 0.06984349111377339)	(20, 0.07304401545444264)	(21, 0.07621208011620045)	(22, 0.07953919720462439)	(23, 0.0827721812242051)	(24, 0.08646284671643731)	(25, 0.09016325011234295)	(26, 0.09355528655858979)	(27, 0.09695381494061892)	(28, 0.10040427880890636)	(29, 0.10397159752127505)	(30, 0.10723379525187607)	(31, 0.11055117443662657)	(32, 0.11426456170409678)	(33, 0.11817595301292687)	(34, 0.12215226367957986)	(35, 0.12606365498840993)	(36, 0.1300302277513895)	(37, 0.13378256663355348)	(38, 0.13799258698836891)	(39, 0.14194942184767503)	(40, 0.14586081315650512)	(41, 0.1497786964011175)	(42, 0.15363815222368926)	(43, 0.15769236611972973)	(44, 0.16149339452026087)	(45, 0.16543399954011126)	(46, 0.16964077392703558)	(47, 0.17335740716239695)	(48, 0.17782061301272173)	(49, 0.18183587529406847)	(50, 0.18608160129568652)	(51, 0.19030460552206654)	(52, 0.1944659363585148)	(53, 0.19885448494734326)	(54, 0.20324627950406285)	(55, 0.2072907554964299)	(56, 0.21196170329178798)	(57, 0.2159769655731347)	(58, 0.22030059480414024)	(59, 0.22459176435623432)	(60, 0.2287466032569003)	(61, 0.2329663615153892)	(62, 0.2371796278380958)	(63, 0.24152597884433935)	(64, 0.24571976935969908)	(65, 0.25038097925138375)	(66, 0.2544449310510976)	(67, 0.25858029414441674)	(68, 0.2628779556322931)	(69, 0.2672048308311898)	(70, 0.2715771495805625)	(71, 0.27599491188041125)	(72, 0.28029257336828767)	(73, 0.2846162025992932)	(74, 0.28876454956417685)
SRR9127296_1_clean - nextera_transposase_sequence	(1, 1.9687597207511213e-05)	(2, 9.843798603755606e-05)	(3, 0.00025593876369764575)	(4, 0.000374064346942713)	(5, 0.0005709403190178251)	(6, 0.0007284410966779148)	(7, 0.0009646922631680494)	(8, 0.0011812558324506728)	(9, 0.0013190690129032511)	(10, 0.0015159449849783634)	(11, 0.0017718837486760091)	(12, 0.0021065729012037)	(13, 0.002716888414636547)	(14, 0.0036618930805970853)	(15, 0.0047053357325951796)	(16, 0.007855351285796973)	(17, 0.011084117227828812)	(18, 0.01429319557265314)	(19, 0.017620399500722535)	(20, 0.021223229789697085)	(21, 0.025456063189311998)	(22, 0.031598593518055496)	(23, 0.039198006040154824)	(24, 0.046718668173424106)	(25, 0.056582154374387225)	(26, 0.06646532817255785)	(27, 0.07556099808242803)	(28, 0.08512917032527847)	(29, 0.0951698449011092)	(30, 0.10473801714395965)	(31, 0.11477869171979037)	(32, 0.1244846771430934)	(33, 0.13472222769099923)	(34, 0.14423133714222713)	(35, 0.15517764118960337)	(36, 0.16571050569562187)	(37, 0.17673556013182815)	(38, 0.1875243634015443)	(39, 0.19821472868522289)	(40, 0.21087385368965259)	(41, 0.2240448562214776)	(42, 0.23562116337949418)	(43, 0.2486346651336591)	(44, 0.26072284981907096)	(45, 0.27332291203187814)	(46, 0.2856670354809877)	(47, 0.28574578586981775)	(48, 0.28574578586981775)	(49, 0.2858048486614403)	(50, 0.2858639114530628)	(51, 0.2859426618418928)	(52, 0.28596234943910037)	(53, 0.28596234943910037)	(54, 0.2860410998279304)	(55, 0.28611985021676045)	(56, 0.28613953781396795)	(57, 0.2861986006055905)	(58, 0.2861986006055905)	(59, 0.2863167261888356)	(60, 0.2863364137860431)	(61, 0.2863954765776656)	(62, 0.28647422696649566)	(63, 0.2865332897581182)	(64, 0.28663172774415574)	(65, 0.2866907905357783)	(66, 0.2867104781329858)	(67, 0.2867301657301933)	(68, 0.2867301657301933)	(69, 0.2868089161190233)	(70, 0.28686797891064586)	(71, 0.2869270417022684)	(72, 0.28696641689668345)	(73, 0.2870845424799285)	(74, 0.2871829804659661)
SRR9127296_1_clean - polya	(1, 0.01478538550284092)	(2, 0.01758102430630751)	(3, 0.02061291427626424)	(4, 0.023605429051805942)	(5, 0.027050758563120406)	(6, 0.030299212102359755)	(7, 0.03380360440529675)	(8, 0.03720955872219619)	(9, 0.0409108269972083)	(10, 0.04469084566105045)	(11, 0.04809679997794989)	(12, 0.05108931475349159)	(13, 0.054633082250843616)	(14, 0.05862966448396839)	(15, 0.06183874282879272)	(16, 0.06585501265912501)	(17, 0.07050128560009765)	(18, 0.07396630270861962)	(19, 0.0788488268160824)	(20, 0.08260915788271704)	(21, 0.08640886414376671)	(22, 0.09036607118247646)	(23, 0.09371296270775337)	(24, 0.09713860462186032)	(25, 0.10056424653596727)	(26, 0.10416707682494182)	(27, 0.10763209393346379)	(28, 0.11127429941685336)	(29, 0.11523150645556313)	(30, 0.11873589875850012)	(31, 0.12227966625585214)	(32, 0.12566593297554407)	(33, 0.1293868888477637)	(34, 0.13298971913673824)	(35, 0.13708473935590057)	(36, 0.14119944717227043)	(37, 0.14509759141935763)	(38, 0.14885792248599228)	(39, 0.1524016899833443)	(40, 0.15620139624439397)	(41, 0.1601782908803112)	(42, 0.16389924675253084)	(43, 0.16793520418007063)	(44, 0.17210897478806303)	(45, 0.17640087097930046)	(46, 0.18132277028117827)	(47, 0.18602810601377345)	(48, 0.1907334417463686)	(49, 0.19488752475715349)	(50, 0.19882504419865574)	(51, 0.2031760031815157)	(52, 0.20713321022022546)	(53, 0.21148416920308544)	(54, 0.2161698173384731)	(55, 0.22093421586269082)	(56, 0.22514736166509822)	(57, 0.22914394389822298)	(58, 0.23343584008946044)	(59, 0.23780648666952794)	(60, 0.24203932006914283)	(61, 0.24595715191343756)	(62, 0.2504065488823351)	(63, 0.2547181326707801)	(64, 0.2588328404871499)	(65, 0.2634988010253301)	(66, 0.2680466359802652)	(67, 0.27294884768493544)	(68, 0.27724074387617287)	(69, 0.28143420208137276)	(70, 0.2856867230781952)	(71, 0.28999830686664013)	(72, 0.29438864104391516)	(73, 0.29895616359605776)	(74, 0.30366149932865294)
SRR9127296_2_clean - nextera_transposase_sequence	(1, 7.875038883004485e-05)	(2, 0.0001968759720751121)	(3, 0.0003150015553201794)	(4, 0.0005512527218103139)	(5, 0.000748128693885426)	(6, 0.0009450046659605382)	(7, 0.0012600062212807176)	(8, 0.001653758165430942)	(9, 0.0018900093319210763)	(10, 0.0022443860816562782)	(11, 0.00259876283139148)	(12, 0.003169703150409305)	(13, 0.003878456649879709)	(14, 0.004961274496292825)	(15, 0.006122842731535987)	(16, 0.009331921076360314)	(17, 0.012934751365334866)	(18, 0.016596644445931952)	(19, 0.02012072434607646)	(20, 0.023900743009918613)	(21, 0.028350139978816146)	(22, 0.03486673465450236)	(23, 0.04289927431516693)	(24, 0.05085306358700146)	(25, 0.06124811491256738)	(26, 0.07150535305768073)	(27, 0.08101446250890863)	(28, 0.0909566990987018)	(29, 0.10143050081309776)	(30, 0.11139242500009844)	(31, 0.122043415089362)	(32, 0.13210377726240025)	(33, 0.1427744549488713)	(34, 0.15301200549677715)	(35, 0.16441112427992613)	(36, 0.17547555391054742)	(37, 0.187012485874149)	(38, 0.1982541038796379)	(39, 0.20945634669071178)	(40, 0.22288328798623444)	(41, 0.23660554323986974)	(42, 0.2487921659113192)	(43, 0.26239629558170946)	(44, 0.2751144833777617)	(45, 0.28860048746490685)	(46, 0.3013777380525816)	(47, 0.30143680084420416)	(48, 0.30145648844141165)	(49, 0.3016139892190718)	(50, 0.3016927396079018)	(51, 0.30177148999673187)	(52, 0.30181086519114686)	(53, 0.3018502403855619)	(54, 0.301968365968807)	(55, 0.3021258667464671)	(56, 0.3021849295380896)	(57, 0.30228336752412716)	(58, 0.3023424303157497)	(59, 0.30240149310737224)	(60, 0.30244086830178724)	(61, 0.3025196186906173)	(62, 0.30265743187106986)	(63, 0.3028346202459375)	(64, 0.302933058231975)	(65, 0.3030511838152201)	(66, 0.30314962180125765)	(67, 0.30328743498171024)	(68, 0.3033661853705403)	(69, 0.30350399855099286)	(70, 0.3036221241342379)	(71, 0.303779624911898)	(72, 0.3038386877035205)	(73, 0.30401587607838815)	(74, 0.3041143140644257)
SRR9127296_2_clean - polya	(1, 0.014312883169860652)	(2, 0.017344773139817377)	(3, 0.019963223568416368)	(4, 0.023329802690900785)	(5, 0.026243567077612447)	(6, 0.02921639425594664)	(7, 0.03299641291978879)	(8, 0.03620549126461312)	(9, 0.04010363551170034)	(10, 0.04343083943976973)	(11, 0.047880236408667266)	(12, 0.05103025196186906)	(13, 0.05459370705642859)	(14, 0.058511538900723324)	(15, 0.061897805620415254)	(16, 0.06485094520154193)	(17, 0.06827658711564888)	(18, 0.07160379104371828)	(19, 0.0758563120405407)	(20, 0.07910476557978005)	(21, 0.08249103229947198)	(22, 0.08613323778286155)	(23, 0.08969669287742109)	(24, 0.09349639913847074)	(25, 0.09761110695484058)	(26, 0.10135175042426772)	(27, 0.10467895435233711)	(28, 0.10832115983572668)	(29, 0.11221930408281391)	(30, 0.11566463359412837)	(31, 0.1190312127166128)	(32, 0.12296873215811503)	(33, 0.12726062834935248)	(34, 0.13163127492941995)	(35, 0.13545066878767714)	(36, 0.13984100296495214)	(37, 0.143995085975737)	(38, 0.1482279193753519)	(39, 0.1522245016084767)	(40, 0.15582733189745124)	(41, 0.15978453893616099)	(42, 0.1636629955860407)	(43, 0.1682108305409758)	(44, 0.17220741277410057)	(45, 0.1763024329932629)	(46, 0.1802990152263877)	(47, 0.18423653466788992)	(48, 0.1884299928730898)	(49, 0.1928006394531573)	(50, 0.19740753719971493)	(51, 0.20197505975185753)	(52, 0.2064638319151701)	(53, 0.21077541570361505)	(54, 0.21487043592277738)	(55, 0.21945764607212748)	(56, 0.22400548102706258)	(57, 0.22857300357920518)	(58, 0.23294365015927265)	(59, 0.23747179751700023)	(60, 0.24219682084680294)	(61, 0.24678403099615304)	(62, 0.2511153023818055)	(63, 0.25623407765575845)	(64, 0.26086066299952354)	(65, 0.2654478731488737)	(66, 0.26993664531218625)	(67, 0.27389385235089597)	(68, 0.278323561722586)	(69, 0.28316671063563376)	(70, 0.2873207936464186)	(71, 0.29206550457342884)	(72, 0.29623927518142124)	(73, 0.3005902341642812)	(74, 0.304704941980651)
SRR9127296_2_clean - polyg	(1, 0.028369827576023656)	(2, 0.028842329909003924)	(3, 0.02923608185315415)	(4, 0.02972827178334193)	(5, 0.030279524505152245)	(6, 0.030732339240925003)	(7, 0.03142140514318789)	(8, 0.032051408253828254)	(9, 0.03252391058680852)	(10, 0.03289797493375123)	(11, 0.033547665641599105)	(12, 0.034256419141069507)	(13, 0.034965172640539915)	(14, 0.035378612181897647)	(15, 0.03587080211208543)	(16, 0.03620549126461312)	(17, 0.036638618403178363)	(18, 0.037229246319403705)	(19, 0.03787893702725157)	(20, 0.03835143936023184)	(21, 0.03896175487366469)	(22, 0.03965082077592758)	(23, 0.04006426031728531)	(24, 0.04053676265026559)	(25, 0.041028952580453366)	(26, 0.04140301692739608)	(27, 0.041796768871546305)	(28, 0.04238739678777164)	(29, 0.042938649509581955)	(30, 0.04343083943976973)	(31, 0.04402146735599507)	(32, 0.04465147046663543)	(33, 0.04514366039682321)	(34, 0.04591147668791615)	(35, 0.04663991778459406)	(36, 0.047171482909196864)	(37, 0.04770304803379967)	(38, 0.04821492556119496)	(39, 0.048687427894175225)	(40, 0.04908117983832545)	(41, 0.04961274496292825)	(42, 0.050104934893116036)	(43, 0.0507546256009639)	(44, 0.051266503128359196)	(45, 0.05199494422503711)	(46, 0.05248713415522489)	(47, 0.05313682486307276)	(48, 0.05368807758488307)	(49, 0.0544362062787685)	(50, 0.05522371016706895)	(51, 0.05597183886095437)	(52, 0.056621529568802245)	(53, 0.05715309469340505)	(54, 0.05782247299846043)	(55, 0.05839341331747826)	(56, 0.059220292400193726)	(57, 0.05981092031641906)	(58, 0.06048029862147444)	(59, 0.061208739718152355)	(60, 0.061996243606452804)	(61, 0.06315781184169597)	(62, 0.06447688085459923)	(63, 0.06709533128319821)	(64, 0.06957596853134462)	(65, 0.07229285694598117)	(66, 0.07508849574944776)	(67, 0.07827788649706457)	(68, 0.081644465619549)	(69, 0.08678292849070943)	(70, 0.09286639602783038)	(71, 0.0994026783007241)	(72, 0.10741553036418117)	(73, 0.11538900723322322)	(74, 0.12346092208830281)
