Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000123533.1	1	1	3	0	0	1	0	6
ENSMUSG00000102253.2	17	14	31	3	13	0	4	37
ENSMUSG00002074990.1	0	0	0	0	0	0	1	1
ENSMUSG00000103884.2	14	15	21	18	2	0	3	27
ENSMUSG00000084353.2	1	6	0	0	1	0	0	0
ENSMUSG00000103933.2	0	0	1	0	1	0	2	3
ENSMUSG00002075967.1	0	0	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	1	0	0	0	0	0
ENSMUSG00000104504.2	2	7	1	0	1	0	0	0
ENSMUSG00000123491.1	0	2	10	2	3	1	1	1
ENSMUSG00000066693.3	0	0	0	0	0	0	1	1
ENSMUSG00000102316.2	18	16	7	0	3	0	7	14
ENSMUSG00000103819.2	6	8	5	0	1	4	0	15
ENSMUSG00000102871.2	7	24	33	10	8	0	2	25
ENSMUSG00000101571.3	7	0	4	0	3	0	2	2
ENSMUSG00000135814.1	1	0	15	1	0	1	0	5
ENSMUSG00000104428.2	2	0	4	0	0	0	3	9
ENSMUSG00000102272.2	3	8	4	2	0	2	0	14
ENSMUSG00000065625.3	4	0	7	0	3	0	1	9
ENSMUSG00000079671.11	47	38	60	21	45	5	27	83
ENSMUSG00000103411.2	12	2	31	0	6	2	2	26
ENSMUSG00000061024.9	23	82	55	47	157	6	48	71
ENSMUSG00000025911.15	27	60	12	23	95	4	34	57
ENSMUSG00000081441.4	2	1	1	0	0	1	0	0
ENSMUSG00000067879.4	14	16	16	10	9	1	4	15
ENSMUSG00000099827.2	2	1	1	0	0	0	0	4
ENSMUSG00000025912.17	62	49	92	19	23	2	26	61
ENSMUSG00000123215.1	0	0	3	2	6	1	1	9
ENSMUSG00000045210.9	273	526	337	282	862	114	297	472
ENSMUSG00000097893.11	18	26	33	16	34	4	24	46
ENSMUSG00000128816.1	3	4	1	4	4	1	1	7
ENSMUSG00000025915.15	351	604	472	383	1353	168	501	647
ENSMUSG00000046334.5	0	0	4	0	0	0	0	3
ENSMUSG00002075801.1	0	6	4	0	0	0	0	3
ENSMUSG00000098234.10	50	74	88	88	174	24	80	119
ENSMUSG00000046101.17	32	35	53	19	35	5	25	50
ENSMUSG00000093178.3	0	0	0	0	0	0	0	0
ENSMUSG00000099032.3	9	20	35	8	15	2	4	14
ENSMUSG00000104025.2	0	0	0	0	0	0	0	0
ENSMUSG00000025916.11	11	12	4	17	28	3	2	14
ENSMUSG00000087199.2	7	0	2	1	0	0	0	0
ENSMUSG00000121270.1	21	31	7	16	44	3	17	36
ENSMUSG00000119658.1	0	0	7	0	0	0	0	0
ENSMUSG00000025917.10	154	414	197	185	713	63	258	327
ENSMUSG00000056763.17	257	359	357	209	457	48	242	416
ENSMUSG00000137212.1	10	7	18	1	6	2	6	10
ENSMUSG00000102356.2	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	353	702	604	381	1163	106	467	652
ENSMUSG00002076532.1	7	3	10	2	3	0	1	6
ENSMUSG00000102556.2	29	18	63	16	21	3	18	28
ENSMUSG00000127523.1	0	9	7	2	3	0	4	3
ENSMUSG00000123573.1	0	0	8	3	0	0	0	8
ENSMUSG00000042501.13	53	82	68	44	76	12	42	102
ENSMUSG00000103810.2	11	14	14	0	5	1	12	19
ENSMUSG00000130625.1	13	5	4	1	6	0	1	9
ENSMUSG00000083422.2	6	11	13	0	4	2	2	27
ENSMUSG00000119312.1	0	1	0	0	0	0	0	2
ENSMUSG00000137678.1	1	0	0	0	1	1	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	6	1	17	5	12	3	7	35
ENSMUSG00000100212.2	4	0	0	2	0	0	0	0
ENSMUSG00000125508.1	0	0	8	0	0	0	0	4
ENSMUSG00000100648.2	0	0	0	3	0	1	0	6
ENSMUSG00000130062.1	0	1	5	2	2	0	0	7
ENSMUSG00002076499.1	0	0	1	0	0	0	0	0
ENSMUSG00000048960.14	111	228	166	81	165	25	104	247
ENSMUSG00000127757.1	7	1	5	1	0	0	0	4
ENSMUSG00000127802.1	4	8	4	0	0	0	0	1
ENSMUSG00000077318.3	0	0	0	0	0	0	0	2
ENSMUSG00000101827.2	0	4	4	0	0	1	1	3
ENSMUSG00000122491.1	8	1	10	7	4	0	1	17
ENSMUSG00000103494.2	16	19	28	5	3	2	8	36
ENSMUSG00000143092.1	5	3	9	0	2	1	0	11
ENSMUSG00000057715.14	62	58	95	21	37	4	25	102
ENSMUSG00000103825.2	5	16	24	4	2	2	4	15
ENSMUSG00000099845.2	3	0	3	2	0	0	1	4
ENSMUSG00000139014.1	0	0	0	0	0	0	0	0
ENSMUSG00000138973.1	14	4	6	0	5	0	0	10
ENSMUSG00000103561.2	17	22	35	3	29	3	4	19
ENSMUSG00000134440.1	7	3	2	1	2	1	0	5
ENSMUSG00000101610.2	7	1	3	1	1	0	0	10
ENSMUSG00000141382.1	4	7	10	4	2	1	0	7
ENSMUSG00000118923.1	0	0	0	0	1	1	0	3
ENSMUSG00000098555.3	1	4	0	0	0	0	1	1
ENSMUSG00000143719.1	5	2	7	0	2	1	5	9
ENSMUSG00000097628.2	5	4	3	3	1	1	0	9
ENSMUSG00000098163.2	1	5	0	2	0	3	1	4
ENSMUSG00000097171.3	8	6	9	7	4	1	2	23
ENSMUSG00000101314.3	6	0	14	12	6	1	2	4
