Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000104352.2	0	0	0	1	0	0	0	0
ENSMUSG00000143351.1	5	4	7	2	2	3	5	14
ENSMUSG00000104046.2	3	5	13	8	2	0	1	22
ENSMUSG00000102907.2	7	8	11	4	12	0	2	24
ENSMUSG00000025905.15	34	20	41	11	15	3	7	61
ENSMUSG00000103936.2	2	4	5	0	1	0	0	4
ENSMUSG00002076544.1	0	4	3	0	0	0	0	0
ENSMUSG00000103519.2	9	8	3	1	2	0	1	10
ENSMUSG00000033774.5	19	1	6	9	1	2	1	12
ENSMUSG00000103090.2	1	6	20	0	2	1	2	8
ENSMUSG00000090031.5	59	81	74	40	51	15	34	110
ENSMUSG00000025907.15	409	728	480	451	1108	136	473	778
ENSMUSG00000087247.4	2	2	5	0	2	0	2	8
ENSMUSG00000143943.1	12	4	12	4	3	0	7	8
ENSMUSG00000103355.2	4	0	1	2	0	0	0	11
ENSMUSG00000102706.2	0	0	0	0	0	0	0	0
ENSMUSG00000141243.1	1	2	4	0	0	0	0	0
ENSMUSG00000103845.2	16	5	26	21	9	2	3	17
ENSMUSG00000033740.18	47	50	71	31	41	10	26	113
ENSMUSG00000103329.3	5	10	5	1	2	1	2	11
ENSMUSG00000104385.2	0	2	0	1	1	0	0	2
ENSMUSG00000102135.2	3	4	2	0	0	0	1	13
ENSMUSG00000103282.2	0	0	6	0	0	0	0	5
ENSMUSG00000102534.2	3	5	0	1	4	0	5	1
ENSMUSG00000102213.2	3	1	4	0	0	0	0	1
ENSMUSG00000103629.2	0	0	1	0	1	1	0	1
ENSMUSG00000120372.2	8	11	5	1	11	2	4	11
ENSMUSG00000051285.18	229	444	236	208	588	74	255	454
ENSMUSG00000138092.1	4	4	1	0	13	0	1	1
ENSMUSG00000098201.2	1	3	12	0	3	3	0	2
ENSMUSG00000103509.2	9	20	15	4	17	0	10	15
ENSMUSG00000126455.1	2	3	3	0	3	1	1	4
ENSMUSG00000048538.8	9	2	4	1	5	1	0	4
ENSMUSG00000103709.2	0	0	1	4	0	0	2	0
ENSMUSG00000126493.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	1	2	0	0	1	0	3	3
ENSMUSG00000097797.8	28	31	44	22	19	4	15	39
ENSMUSG00000102768.2	3	2	19	6	1	3	3	19
ENSMUSG00000103498.2	4	1	4	3	0	1	0	9
ENSMUSG00000103067.2	9	7	17	7	2	3	6	27
ENSMUSG00000102320.2	1	1	1	5	1	2	1	5
ENSMUSG00000104226.2	36	10	45	5	18	4	2	32
ENSMUSG00000103903.2	20	9	36	2	9	0	3	14
ENSMUSG00000103557.2	8	0	14	6	9	2	0	10
ENSMUSG00000132588.1	12	12	3	0	3	1	6	21
ENSMUSG00000135709.1	4	1	12	2	4	0	0	6
ENSMUSG00000135722.1	1	0	6	0	1	0	0	3
ENSMUSG00000025909.17	86	67	109	24	40	7	31	97
ENSMUSG00000102647.2	10	9	19	1	7	1	0	13
ENSMUSG00000086235.2	1	2	3	0	0	2	1	3
ENSMUSG00000123533.1	1	1	3	0	0	1	0	6
ENSMUSG00000102253.2	17	14	31	3	13	0	4	36
ENSMUSG00002074990.1	0	0	0	0	0	0	1	1
ENSMUSG00000103884.2	14	15	21	18	2	0	3	25
ENSMUSG00000084353.2	1	6	0	1	0	0	1	1
ENSMUSG00000103933.2	0	1	1	0	1	0	4	3
ENSMUSG00002075967.1	0	0	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	1	0	0	0	0	0
ENSMUSG00000104504.2	2	7	1	0	1	0	0	0
ENSMUSG00000123491.1	0	2	10	1	3	1	1	1
ENSMUSG00000066693.3	0	0	0	0	0	0	1	1
ENSMUSG00000102316.2	16	14	7	0	3	0	7	14
ENSMUSG00000103819.2	6	8	5	0	1	4	0	15
ENSMUSG00000102871.2	7	24	33	10	8	0	2	25
ENSMUSG00000101571.3	7	0	4	0	3	0	2	2
ENSMUSG00000135814.1	1	0	15	1	0	1	0	5
ENSMUSG00000104428.2	2	0	4	0	0	0	3	9
ENSMUSG00000102272.2	3	8	4	2	0	2	0	14
ENSMUSG00000065625.3	4	0	7	0	3	0	1	9
ENSMUSG00000079671.11	47	38	60	20	46	5	27	83
ENSMUSG00000103411.2	12	2	31	0	6	2	2	26
ENSMUSG00000061024.9	23	82	55	47	157	6	45	71
ENSMUSG00000025911.15	27	60	11	23	95	4	34	57
ENSMUSG00000081441.4	2	1	3	0	0	3	0	0
ENSMUSG00000067879.4	14	16	16	10	9	1	4	15
ENSMUSG00000099827.2	2	1	1	0	0	0	0	4
ENSMUSG00000025912.17	62	47	90	19	24	2	26	61
ENSMUSG00000123215.1	0	0	3	2	6	1	1	9
ENSMUSG00000045210.9	270	522	337	281	858	114	296	472
ENSMUSG00000097893.11	18	25	33	16	34	4	23	46
ENSMUSG00000128816.1	1	4	0	4	4	1	0	6
ENSMUSG00000025915.15	350	598	469	379	1337	167	497	647
ENSMUSG00000046334.5	2	15	9	6	23	3	5	13
ENSMUSG00002075801.1	0	6	4	0	0	0	0	3
ENSMUSG00000098234.10	49	73	86	88	171	24	80	116
ENSMUSG00000046101.17	32	35	53	19	35	5	25	50
ENSMUSG00000093178.3	0	0	0	0	0	0	0	0
ENSMUSG00000099032.3	9	20	35	8	15	2	4	14
ENSMUSG00000104025.2	0	0	0	0	0	0	0	0
ENSMUSG00000025916.11	11	12	4	16	28	3	2	13
ENSMUSG00000087199.2	7	0	2	1	0	0	0	0
ENSMUSG00000121270.1	21	31	7	15	44	3	17	36
ENSMUSG00000119658.1	0	0	7	0	0	0	0	0
ENSMUSG00000025917.10	154	411	195	182	708	61	250	321
ENSMUSG00000056763.17	257	354	357	209	448	49	243	407
ENSMUSG00000137212.1	10	7	18	1	6	2	6	10
