Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000123533.1	4	1	6	4	1	1	0	10
ENSMUSG00000102253.2	30	28	62	5	22	0	8	67
ENSMUSG00002074990.1	1	0	0	1	0	0	1	1
ENSMUSG00000103884.2	31	30	40	36	7	0	6	57
ENSMUSG00000084353.2	12	33	10	23	45	3	11	15
ENSMUSG00000103933.2	4	4	3	1	3	1	5	5
ENSMUSG00002075967.1	1	1	1	0	0	0	2	1
ENSMUSG00000086195.2	6	1	4	0	0	0	0	0
ENSMUSG00000104504.2	3	11	1	0	2	3	0	0
ENSMUSG00000123491.1	1	2	16	2	5	4	1	5
ENSMUSG00000066693.3	0	0	1	0	2	0	3	2
ENSMUSG00000102316.2	31	24	16	2	5	0	14	25
ENSMUSG00000103819.2	7	14	10	0	2	4	0	17
ENSMUSG00000102871.2	14	48	61	20	19	0	4	46
ENSMUSG00000101571.3	10	0	9	4	5	0	6	5
ENSMUSG00000135814.1	3	0	24	6	0	4	2	11
ENSMUSG00000104428.2	2	1	5	0	0	0	8	17
ENSMUSG00000102272.2	8	14	11	6	1	3	0	34
ENSMUSG00000065625.3	5	1	13	4	3	3	1	13
ENSMUSG00000079671.11	96	69	123	38	88	13	50	173
ENSMUSG00000103411.2	31	7	58	4	14	5	4	37
ENSMUSG00000061024.9	45	182	105	114	330	27	104	171
ENSMUSG00000025911.15	46	103	30	41	178	9	58	122
ENSMUSG00000081441.4	5	6	4	1	3	4	2	16
ENSMUSG00000067879.4	27	29	38	19	21	2	9	31
ENSMUSG00000099827.2	5	1	3	1	0	0	0	5
ENSMUSG00000025912.17	115	94	180	42	51	4	59	132
ENSMUSG00000123215.1	2	1	6	4	13	3	2	15
ENSMUSG00000045210.9	529	1072	661	567	1688	224	594	935
ENSMUSG00000097893.11	41	66	74	29	83	8	40	103
ENSMUSG00000128816.1	1	9	3	8	9	1	0	8
ENSMUSG00000025915.15	683	1169	949	736	2617	328	971	1263
ENSMUSG00000046334.5	0	4	10	0	13	0	2	11
ENSMUSG00002075801.1	0	8	4	0	10	1	2	4
ENSMUSG00000098234.10	96	152	168	177	329	54	153	217
ENSMUSG00000046101.17	65	74	84	38	56	9	50	113
ENSMUSG00000093178.3	0	0	0	0	0	0	0	0
ENSMUSG00000099032.3	19	38	55	20	29	5	9	33
ENSMUSG00000104025.2	0	0	0	0	0	0	0	0
ENSMUSG00000025916.11	12	29	7	27	52	8	6	39
ENSMUSG00000087199.2	10	0	3	1	1	0	0	3
ENSMUSG00000121270.1	45	69	15	29	88	8	35	71
ENSMUSG00000119658.1	0	0	7	0	0	1	2	1
ENSMUSG00000025917.10	302	824	404	368	1367	124	504	622
ENSMUSG00000056763.17	481	725	738	430	877	100	486	817
ENSMUSG00000137212.1	15	16	29	3	9	5	9	28
ENSMUSG00000102356.2	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	693	1384	1167	760	2255	201	917	1263
ENSMUSG00002076532.1	10	5	15	4	6	0	1	16
ENSMUSG00000102556.2	59	38	117	42	34	6	38	60
ENSMUSG00000127523.1	1	13	11	2	8	0	6	7
ENSMUSG00000123573.1	1	4	7	6	3	0	5	13
ENSMUSG00000042501.13	100	160	138	85	137	23	91	216
ENSMUSG00000103810.2	21	27	28	0	10	2	23	37
ENSMUSG00000130625.1	19	9	13	1	17	0	1	17
