SRR_id,Total_aligned,Non_aligned,Unique_aligned,Multimaped,Time(min),Total_reads,Type,aligner
SRR9126859,0.8315,0.3987799634765664,0.4544096229372927,0.09272022236151249,29.582885966666666,37753296,PR,hisat
SRR9126859,0.7808157798196446,0.2191842201803554,0.6441776936005392,0.1366380862191054,72.58333333333333,23442600,PR,star
SRR9126859,0.8338,0.1661574228114629,0.6732629059916562,0.16057967119688088,29.582900549999998,23442600,UN,hisat
SRR9126859,0.910055582571899,0.08994441742810098,0.7068421591461698,0.20321342342572923,27.15,23442600,UN,star
SRR9126934,0.8266,0.40500836148319885,0.4907901070868173,0.06351903272424772,29.582968049999998,49504973,PR,hisat
SRR9126934,0.7854719801392644,0.21452801986073558,0.6942943250314603,0.09117765510780418,58.5,30677615,PR,star
SRR9126934,0.8301999999999999,0.16981486337839496,0.6843908172131373,0.1457943194084677,29.582960116666666,30677615,UN,hisat
SRR9126934,0.9112429698332155,0.08875703016678448,0.7380758575919282,0.17316711224128734,25.316666666666666,30677615,UN,star
SRR9127010,0.8431000000000001,0.3824987490450894,0.49305067986225154,0.07254841165964938,29.582923716666667,51626561,PR,hisat
SRR9127010,0.8205851489896882,0.17941485101031182,0.6980833994446435,0.12250174954504466,96.3,32592759,PR,star
SRR9127010,0.8453,0.15469991356055496,0.6881175662361079,0.1571825202033372,29.582911433333333,32592759,UN,hisat
SRR9127010,0.9211534071110703,0.07884659288892971,0.7313443148522651,0.1898090922588051,33.233333333333334,32592759,UN,star
SRR9127157,0.8301999999999999,0.40382614525711646,0.48012919780362084,0.07689333529846545,29.58283285,36333435,PR,hisat
SRR9127157,0.7674330055716411,0.23256699442835896,0.681699400350566,0.08573360522107505,39.2,21772221,PR,star
SRR9127157,0.8325,0.16747730973335243,0.6699648602685045,0.16255782999814306,29.582824766666665,21772221,UN,hisat
SRR9127157,0.9180297682997063,0.08197023170029369,0.7258733502659191,0.1921564180337872,15.666666666666666,21772221,UN,star
SRR9127293,0.8645,0.34991489101447987,0.5462349002896623,0.06328987165219631,29.582996066666666,47024412,PR,hisat
SRR9127293,0.826375741817272,0.173624258182728,0.7387388934339653,0.08763684838330674,54.81666666666667,30807452,PR,star
SRR9127293,0.871,0.12898353294521078,0.7330645845037752,0.13795188255101395,29.582983516666665,30807452,UN,hisat
SRR9127293,0.9413177370202508,0.058682262979749183,0.7763648548409651,0.16495288217928572,20.266666666666666,30807452,UN,star
SRR9127296,0.8373,0.39002048991671273,0.5093218326427674,0.0630602808535538,29.582973799999998,8059574,PR,hisat
SRR9127296,0.7860292872696059,0.2139707127303941,0.7117885394559136,0.07424074781369233,8.616666666666667,5079340,PR,star
SRR9127296,0.8411,0.15888639075155433,0.7071635291199251,0.13395008012852064,29.582973016666664,5079340,UN,hisat
SRR9127296,0.9190290470809199,0.08097095291908003,0.7640010316300937,0.15502801545082628,3.35,5079340,UN,star
SRR9127369,0.7809999999999999,0.4643236160382872,0.41617762715967704,0.08343815714717691,29.5829669,38365169,PR,hisat
SRR9127369,0.6936867047559852,0.30631329524401485,0.614141553610298,0.07954515114568718,37.7,22060603,PR,star
SRR9127369,0.7842,0.21577497224350575,0.6358363821696079,0.14838864558688628,29.5829673,22060603,UN,hisat
SRR9127369,0.8787918444477696,0.12120815555223037,0.7030349079759969,0.1757569364717728,15.733333333333333,22060603,UN,star
SRR9127396,0.8819,0.3192004226417494,0.568871224848861,0.060953174346568106,29.5828611,48053937,PR,hisat
SRR9127396,0.8644384934893168,0.13556150651068324,0.7557070355177627,0.10873145797155405,82.48333333333333,32925807,PR,star
SRR9127396,0.8953,0.1047290655624629,0.7533972667701053,0.1418736676674318,29.582864833333335,32925807,UN,hisat
SRR9127396,0.9430491711258588,0.056950828874141185,0.7810848189689018,0.161964352156957,30.316666666666666,32925807,UN,star
